Name,slug,Domain,LogoUrl,FullCompanyName,Description,Logo,Status,MonthlyYearlyToggle,MonthlyYearly,FreePeriod,TrialPeriod,FreePlan,NoPackages,PricingType,LowestPrice,HighestVisiblePrice,Price different between lowest and medium tier,LowToHigh,HighToLow,Highlighted,EnterpriseQuote,EnterprisePlanTier,EnterprisePlanBelow,CtaType,CtaName,FeaturesTickCross,FeaturesStrikethrough,FeaturesHiddenLowerTiers,FeaturesUnderneathPricing,EverythingIncludedHigherPlans,FeaturesUnavailable
Powtoon,powtoon,powtoon.com,https://logo.clearbit.com/powtoon.com,Powtoon,"Make videos in minutes with Powtoon. Use our library of styles, characters, backgrounds and video, or upload your own! Free. Easy. Awesome. Sign up today!",,Active,Yes,Yearly,4 Days,,Yes,4,Standard,89.00,197,,Yes ,,Yes,No,,,Bottom,Get Plan,Yes,,,,,
Semrush,semrush,semrush.com,https://logo.clearbit.com/semrush.com,Semrush,SEMrush is a an online visibility management and content marketing SaaS platform.,,Active,Yes,Monthly,7 days,,No,4,Standard,99.00,399,,Yes ,,Yes (64% of users choose Guru),Yes,,,Top,Try for free,Yes,,,,,
Callpage,callpage,callpage.io,https://logo.clearbit.com/callpage.io,CallPage,CallPage is an ICT SaaS company that converts website visitors into sales calls.,,Active,Yes,Yearly,7 days,,Yes,3,Standard,159.00,379,,Yes ,,yes,No,,,Top,Start Free Trail,,,Yes,,,
Treehouse,treehouse,teamtreehouse.com,https://logo.clearbit.com/teamtreehouse.com,Treehouse,Treehouse is an online technology school that guides students from zero to job-ready for the tech industry in 6-12 months.,,Active,No,No,7 days,,No,4,Standard,25.00,199,,,Yes,Yes(Most popular),Yes,,,Bottom,Signup Now,,,,,Yes,
Setapp,setapp,setapp.com,https://logo.clearbit.com/setapp.com,Setapp,The first subscription service for Mac apps.,,Active,No,No,7 days,,No,3,Standard,9.99,19.99,,Yes ,,no,No,,,Bottom,Get Started,,,Yes,,,
Lodgify,lodgify,lodgify.com,https://logo.clearbit.com/lodgify.com,Lodgify,Lodgify is a vacation rental marketing software that simplifies vacation rental marketing.,,Active,Yes,Yearly,7 days,,No,2,Standard,40.00,104,,Yes ,No,No,No,,,Top,Get started,,,Yes,,,
Postcron,postcron,postcron.com,https://logo.clearbit.com/postcron.com,Postcron,Postcron is an online service that enables users to schedule posts on social media accounts for specific dates and times.,,Active,Yes,Annual,7 days,,No,4,Standard,9.99,199,,Yes ,,Yes(Most popular),No,,,Bottom,Start free trail,Yes,,,,,
Uplead,uplead,uplead.com,https://logo.clearbit.com/uplead.com,UpLead,UpLead is a B2B data provider and technology company helping businesses grow with real-time verified B2B contact data.,,Active,Yes,Monthly,7 days,,Yes,4,Standard,79.00,349,,Yes ,,Yes(Most popular),No,,,Top and Bottom,Buy now,,,,yes,,
Prowly,prowly,prowly.com,https://logo.clearbit.com/prowly.com,Prowly,Prowly is a set of powerful tools providing public relations with analytics and cloud-based media management.,,Active,Yes,Monthly,7 days,,No,3,Standard,115.00,549,,Yes ,,Yes,No,,,Top,Try It For free,,,Yes,,,
Majestic,majestic,majestic.com,https://logo.clearbit.com/majestic.com,Majestic,The world's largest commercial link map,,Active,Yes,Monthly,7 days,,No,3,Standard,49.99,399.99,,Yes ,,Yes,No,,,Top,Choose,,,Yes,,,
ahrefs,ahrefs,ahrefs.com,https://logo.clearbit.com/ahrefs.com,Ahrefs,Ahrefs is a software company that develops online SEO tools and free educational materials for marketing professionals.,,Active,Yes,Monthly,7 days,,No,4,Standard,99.00,999,,Yes ,,Yes(Most popular plan),No,,,Top and Bottom,Start trial for $ 7,Yes,,,,,
Ideanote,ideanote,ideanote.io,https://logo.clearbit.com/ideanote.io,Ideanote,"An intuitive idea management platform. Establish ideation and innovation as an organizational and cultural bedrock. Be Smarter, together.",,Active,No,,7 days,,No,3,Standard,99.00,1899,,,Yes,Yes(Most popular),No,,,Top,Try free for 7 days,,Yes,,,,
Buzzsumo,buzzsumo,buzzsumo.com,https://logo.clearbit.com/buzzsumo.com,BuzzSumo,BuzzSumo is a content marketing and influencer identification platform.,,Active,Yes,Monthly,7 days,,No,4,Standard,99.00,499,,Yes ,,Yes (Recommend),No,,,Top and bottom,Start trial,Yes,,,,,
Postman,postman,postmansmtp.com,https://logo.clearbit.com/postmansmtp.com,Post SMTP,"Making Email Deliverability Work for WordPress The Most Popular WordPress SMTP Mailer Plugin Post SMTP is the best, powerful, easy-to-use SMTP Mailing Plugin that maximizes the deliverability of all your emails.Fully compatible with any SMTP mailing service, API mailing (SMTP blocked), email logs, failure notifications and much more. Get Post SMTP Your WordPress site not …  Home Read More »",,Active,No,No,7 days,,No,3,Per user,8.00,18,,Yes ,No,No,No,,,Top,Download the app,Yes,,,,,
Marvel,marvel,marvel.com,https://logo.clearbit.com/marvel.com,Marvel Entertainment,"Marvel Entertainment is a character-based entertainment company engaged in licensing, publishing, toy making, and film production.",,Active,Yes,Yearly,7 days,,Yes,5,Standard,16.00,96,,Yes ,,No,Yes,,,Bottom,Start Your Free Trial,,,Yes,,,
UXPin,uxpin,uxpin.com,https://logo.clearbit.com/uxpin.com,UXPin,"UXPin allows product teams and designers to build low and high-fidelity, interactive, realistic web and mobile wireframes and prototypes.",,Active,Yes,Yearly,7 days,,No,3,Per user,24.00,39,,Yes ,No,Yes (Recommended),Yes,,,Top,Start free trial,,,,,Yes,
CrossBrowserTesting,crossbrowsertesting,crossbrowsertesting.com,https://logo.clearbit.com/crossbrowsertesting.com,CrossBrowserTesting.com,CrossBrowserTesting.com is the fastest growing automated cloud testing platforms.,,Active,No,No,7 days,,No,3,Per user,39.00,130,,Yes ,No,Yes(Best value),No,,,Bottom,Choose plan,,,,,Yes,
